fdw,dataset,run,execution_time
xdbc,xdbc_sf0001_lineitem,1,1.37613
xdbc,xdbc_sf0001_lineitem,2,1.39054
xdbc,xdbc_sf0001_lineitem,3,1.36102
xdbc,xdbc_sf0001_lineitem,4,1.35948
xdbc,xdbc_sf0001_lineitem,5,1.3518
xdbc,xdbc_sf0001_lineitem,6,1.36081
xdbc,xdbc_sf0001_lineitem,7,1.36966
xdbc,xdbc_sf0001_lineitem,8,1.34534
xdbc,xdbc_sf0001_lineitem,9,1.3652
xdbc,xdbc_sf0001_lineitem,10,1.35813
xdbc,xdbc_sf10_lineitem,1,1087.16
xdbc,xdbc_sf10_lineitem,2,1218.75
xdbc,xdbc_sf10_lineitem,3,1209.11
xdbc,xdbc_sf10_lineitem,4,1105.56
xdbc,xdbc_sf10_lineitem,5,1093.28
xdbc,xdbc_sf10_lineitem,6,1091.25
xdbc,xdbc_sf10_lineitem,7,1095.5
xdbc,xdbc_sf10_lineitem,8,1099.92
xdbc,xdbc_sf10_lineitem,9,1188.45
xdbc,xdbc_sf10_lineitem,10,1095.01
xdbc,xdbc_sf1_lineitem,1,109.745
xdbc,xdbc_sf1_lineitem,2,102.55
xdbc,xdbc_sf1_lineitem,3,104.25
xdbc,xdbc_sf1_lineitem,4,103.185
xdbc,xdbc_sf1_lineitem,5,111.792
xdbc,xdbc_sf1_lineitem,6,103.439
xdbc,xdbc_sf1_lineitem,7,103.23
xdbc,xdbc_sf1_lineitem,8,103.323
xdbc,xdbc_sf1_lineitem,9,105.887
xdbc,xdbc_sf1_lineitem,10,103.006
native,pg1_sf0001_lineitem,1,0.464868
native,pg1_sf0001_lineitem,2,0.389292
native,pg1_sf0001_lineitem,3,0.373373
native,pg1_sf0001_lineitem,4,0.387962
native,pg1_sf0001_lineitem,5,0.386711
native,pg1_sf0001_lineitem,6,0.392722
native,pg1_sf0001_lineitem,7,0.38099
native,pg1_sf0001_lineitem,8,0.380709
native,pg1_sf0001_lineitem,9,0.393499
native,pg1_sf0001_lineitem,10,0.389151
native,pg1_sf10_lineitem,1,1855.93
native,pg1_sf10_lineitem,2,1849.27
native,pg1_sf10_lineitem,3,1851.44
native,pg1_sf10_lineitem,4,1852.43
native,pg1_sf10_lineitem,5,1842.74
native,pg1_sf10_lineitem,6,1840.46
native,pg1_sf10_lineitem,7,1852.39
native,pg1_sf10_lineitem,8,1857.58
native,pg1_sf10_lineitem,9,1958.49
native,pg1_sf10_lineitem,10,1964.95
native,pg1_sf1_lineitem,1,189.434
native,pg1_sf1_lineitem,2,181.251
native,pg1_sf1_lineitem,3,180.364
native,pg1_sf1_lineitem,4,177.761
native,pg1_sf1_lineitem,5,191.002
native,pg1_sf1_lineitem,6,178.143
native,pg1_sf1_lineitem,7,180.825
native,pg1_sf1_lineitem,8,186.023
native,pg1_sf1_lineitem,9,181.939
native,pg1_sf1_lineitem,10,181.534
